Name,Taxa,Family,Location,Env,Yield,TSTWT,Protein,Height,DTH
LDRC103_97,EA_148,LDRC103,Spillman,2014,1.769064667,58.16565933,15.64099867,44.09318667,181.7926427
LDRC103_98,EA_149,LDRC103,Spillman,2014,1.850664667,59.16565933,15.24139867,31.09618667,178.7926427
LDRC103_102,EA_150,LDRC103,Spillman,2014,1.758564667,59.16565933,14.34139867,36.09318667,174.7926427
LDRC65_94,EA_201,LDRC65,Spillman,2014,1.583064667,60.75465933,13.54099867,31.75918667,176.9036427
LDRC65_95,EA_202,LDRC65,Spillman,2014,2.081064667,61.95465933,15.64099867,41.75948667,179.9036427
LDRC65_96,EA_203,LDRC65,Spillman,2014,1.655064667,61.95465933,15.34139867,40.75948667,173.9056427
LDRC65_97,EA_204,LDRC65,Spillman,2014,1.778064667,59.95465933,14.44139867,39.75918667,178.9036427
LDRC65_98,EA_205,LDRC65,Spillman,2014,1.490064667,60.75465933,15.34139867,37.75918667,179.9036427
LDRC65_99,EA_206,LDRC65,Spillman,2014,2.093064667,60.45465933,15.84099867,34.75918667,176.9036427
LDRC65_100,EA_207,LDRC65,Spillman,2014,1.826064667,61.55465933,14.64143867,37.75918667,178.9036427
LDRC65_101,EA_208,LDRC65,Spillman,2014,1.925064667,62.55465933,14.14139867,34.75918667,176.9036427
LDRC65_103,EA_209,LDRC65,Spillman,2014,1.835064667,59.45465933,14.94139867,34.75918667,177.9036427
LDRC65_104,EA_210,LDRC65,Spillman,2014,1.946064667,60.15465933,13.84139867,31.75918667,178.9036427
LDRC65_105,EA_211,LDRC65,Spillman,2014,1.550064667,60.35465933,14.14139867,41.75948667,177.9036427
LDRC65_108,EA_212,LDRC65,Spillman,2014,1.337064667,58.65465933,15.64099867,39.75918667,180.9036427
LDRC65_109,EA_213,LDRC65,Spillman,2014,1.886064667,61.15465933,15.04139867,34.75918667,181.9036427
LDRC65_110,EA_214,LDRC65,Spillman,2014,1.841064667,61.85465933,13.24099867,32.75918667,181.9036427
LDRC65_111,EA_215,LDRC65,Spillman,2014,2.288064667,59.65465933,13.54099867,34.75918667,182.9036427
LDRC65_112,EA_216,LDRC65,Spillman,2014,1.583064667,60.65465933,15.54139867,37.75918667,180.9036427
LDRC65_113,EA_217,LDRC65,Spillman,2014,2.177064667,59.95465933,13.64139867,32.75918667,178.9036427
LDRC65_114,EA_218,LDRC65,Spillman,2014,2.318064667,61.05465933,14.34139867,33.75918667,179.9036427
LDRC65_116,EA_219,LDRC65,Spillman,2014,1.781064667,61.85465933,13.34099867,30.75618667,179.9036427
LDRC65_118,EA_220,LDRC65,Spillman,2014,2.231064667,62.35465933,13.44099867,34.75918667,180.9036427
LDRC65_119,EA_221,LDRC65,Spillman,2014,2.258064667,61.05465933,13.64139867,31.75918667,177.9036427
LDRC65_120,EA_222,LDRC65,Spillman,2014,2.093064667,61.15465933,13.54099867,35.75918667,175.9036427
LDRC65_122,EA_223,LDRC65,Spillman,2014,2.204064667,63.55465933,14.64143867,33.75918667,180.9036427
LDRC65_124,EA_224,LDRC65,Spillman,2014,1.730064667,60.15465933,14.14139867,36.75918667,180.9036427
LDRC65_125,EA_225,LDRC65,Spillman,2014,1.823064667,57.35485933,14.74139867,32.75918667,184.9034427
LDRC74_59,EA_276,LDRC74,Spillman,2014,1.793064667,58.95465933,12.34099867,38.75918667,174.9036427
LDRC74_63,EA_277,LDRC74,Spillman,2014,1.725664667,56.64375933,12.40799867,37.98218667,178.0146427
LDRC74_64,EA_278,LDRC74,Spillman,2014,1.611664667,57.44375933,13.30799867,39.98218667,179.0146427
LDRC74_65,EA_279,LDRC74,Spillman,2014,1.860664667,55.74365933,15.50809867,42.98218667,177.0146427
LDRC74_66,EA_280,LDRC74,Spillman,2014,1.404664667,60.24365933,14.50810867,35.98218667,178.0146427
LDRC74_67,EA_281,LDRC74,Spillman,2014,1.641664667,58.74365933,11.80799867,39.98218667,177.0146427
LDRC74_68,EA_282,LDRC74,Spillman,2014,1.749664667,61.24365933,15.00809867,34.98218667,179.0146427
LDRC74_69,EA_283,LDRC74,Spillman,2014,2.481664667,60.54365933,11.40799867,38.98218667,178.0146427
LDRC74_70,EA_284,LDRC74,Spillman,2014,1.932664667,61.64365933,12.80799867,38.98218667,178.0146427
LDRC74_71,EA_285,LDRC74,Spillman,2014,1.557664667,57.54375933,14.10809867,36.98218667,179.0146427
LDRC74_72,EA_286,LDRC74,Spillman,2014,1.641664667,58.64365933,13.90809867,44.98218667,179.0146427
LDRC74_73,EA_287,LDRC74,Spillman,2014,1.812664667,58.84365933,13.30799867,43.98218667,177.0146427
LDRC74_74,EA_288,LDRC74,Spillman,2014,1.620664667,56.24375933,14.90809867,43.98218667,177.0146427
LDRC74_75,EA_289,LDRC74,Spillman,2014,1.512664667,59.24365933,13.60809867,43.98218667,178.0146427
LDRC74_76,EA_290,LDRC74,Spillman,2014,2.130694667,57.84375933,13.20799867,44.98218667,178.0146427
LDRC74_77,EA_291,LDRC74,Spillman,2014,1.953664667,57.44375933,14.10809867,42.98218667,183.0146427
LDRC74_79,EA_292,LDRC74,Spillman,2014,1.530664667,58.14365933,12.60799867,37.98218667,178.0146427
LDRC74_80,EA_293,LDRC74,Spillman,2014,1.770664667,56.24375933,15.70799867,35.98218667,185.0145427
LDRC74_81,EA_294,LDRC74,Spillman,2014,1.686664667,59.94365933,15.40809867,31.98218667,187.0146427
LDRC74_82,EA_295,LDRC74,Spillman,2014,1.515664667,57.04376933,13.10799867,29.98618667,177.0146427
LDRC74_83,EA_296,LDRC74,Spillman,2014,1.983694667,58.54365933,14.10809867,34.98218667,184.0145427
LDRC74_84,EA_297,LDRC74,Spillman,2014,2.229664667,57.94375933,13.30799867,35.98218667,181.0146427
